"departamento","corporacion","circunscripción","partido","candidato","genero","descipcion_movimiento","codigo","region"
"CONSULADOS","CAMARA","INTERNACIONAL","PARTIDO ALIANZA VERDE","HERNANDO NULL BARRETO BAQUERO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"CONSULADOS","CAMARA","INTERNACIONAL","PARTIDO POLÍTICO MIRA","DIANA CATALINA BAHAMON MORALES","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"CONSULADOS","CAMARA","INTERNACIONAL","PARTIDO POLÍTICO MIRA","GLORIA ESTELA CASTRO BERRIO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"CONSULADOS","CAMARA","INTERNACIONAL","PARTIDO POLÍTICO MIRA","JOHANNA NULL AGUIRRE SANCHEZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"CONSULADOS","CAMARA","INTERNACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""","JUAN PABLO BARRERA BARRAZA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"CONSULADOS","CAMARA","INTERNACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""","BLANCA INES NIÑO ROJAS","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"CONSULADOS","CAMARA","INTERNACIONAL","PARTIDO CENTRO DEMOCRÁTICO","JUAN DAVID VELEZ TRUJILLO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"CONSULADOS","CAMARA","INTERNACIONAL","PARTIDO CENTRO DEMOCRÁTICO","IVAN MAURICIO GUZMAN ROJAS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"CONSULADOS","CAMARA","INTERNACIONAL","PARTIDO CENTRO DEMOCRÁTICO","CARMEN SOFIA CHAVARRIAGA ESTUPIÑAN","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"CONSULADOS","CAMARA","INTERNACIONAL","PARTIDO NUEVO LIBERALISMO","CARLOS FELIPE SARMIENTO ROJAS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"CONSULADOS","CAMARA","INTERNACIONAL","FUERZA COLOMBIA","AURA MARINA BONILLA BRAVO","F","COALICIONES","",""
"CONSULADOS","CAMARA","INTERNACIONAL","FUERZA COLOMBIA","JUAN GUILLERMO ORTIZ HOYOS","M","COALICIONES","",""
"CONSULADOS","CAMARA","INTERNACIONAL","FUERZA COLOMBIA","HERNANDO NULL VIVEROS CABEZAS","M","COALICIONES","",""
"CONSULADOS","CAMARA","INTERNACIONAL","COALICIÓN PACTO HISTÓRICO","CARMEN FELISA RAMIREZ BOSCAN","F","COALICIONES","",""
"CONSULADOS","CAMARA","INTERNACIONAL","COALICIÓN PACTO HISTÓRICO","NATALIA NULL MUNEVAR SASTRE","F","COALICIONES","",""
"CONSULADOS","CAMARA","INTERNACIONAL","MOVIMIENTO DE SALVACION NACIONAL","JORGE ALBERTO VALENCIA GUEVARA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA","",""
"ARAUCA","CAMARA","CITREP","ASOVCOMPARTIR-ASOCIACION DE VICTIMAS DEL CONFLICTO","LILIANA    MARTINEZ RINCON","F","ORGANIZACIÓN DE VÍCTIMAS","81","Llano"
"ARAUCA","CAMARA","CITREP","ASOVCOMPARTIR-ASOCIACION DE VICTIMAS DEL CONFLICTO","JOSE    GIOVANI GUERRERO MARTINEZ","M","ORGANIZACIÓN DE VÍCTIMAS","81","Llano"
"ARAUCA","CAMARA","CITREP","CONSEJO COMUNITARIO PANAMA DE ARAUCA","JOHN    JAIRO HURTADO HURTADO","M","CONSEJOS COMUNITARIOS","81","Llano"
"ARAUCA","CAMARA","CITREP","CONSEJO COMUNITARIO PANAMA DE ARAUCA","LEYI    MELON ROBLES","F","CONSEJOS COMUNITARIOS","81","Llano"
"ARAUCA","CAMARA","CITREP","ASOCIACION DE SOBREVIVIENTES DE MINAS ANTIPERSONAL LUCHANDO POR LA DIGNIDAD Y LA PAZ","GUILLERMO    MURCIA DUARTE","M","ORGANIZACIONES SOCIALES","81","Llano"
"ARAUCA","CAMARA","CITREP","ASOCIACION DE SOBREVIVIENTES DE MINAS ANTIPERSONAL LUCHANDO POR LA DIGNIDAD Y LA PAZ","SHIRLEY    PATRICIA MORENO PALENCIA","F","ORGANIZACIONES SOCIALES","81","Llano"
"ARAUCA","CAMARA","CITREP","COMITÉ PERMAMENTE POR LA DEFENSA DE LOS DERECHOS HUMANOS ARAUCA","WILFREDO    DONADO LEAL","M","ORGANIZACIONES SOCIALES","81","Llano"
"ARAUCA","CAMARA","CITREP","COMITÉ PERMAMENTE POR LA DEFENSA DE LOS DERECHOS HUMANOS ARAUCA","YURY   PATRICIA  HERRERA PEREZ","F","ORGANIZACIONES SOCIALES","81","Llano"
"ARAUCA","CAMARA","CITREP","GRUPO ASOCIADOS AGROPECUARIOS SANTO DOMINGO","NORBEY    HERNANDEZ CALDERON","M","ORGANIZACIONES SOCIALES","81","Llano"
"ARAUCA","CAMARA","CITREP","GRUPO ASOCIADOS AGROPECUARIOS SANTO DOMINGO","YANETH    SAMACA NAVAS","F","ORGANIZACIONES SOCIALES","81","Llano"
"ARAUCA","CAMARA","CITREP","ASOCIACION DE VICTIMAS INTERCULTURAL Y REGIONAL","KAREN   ASTRITH  MANRIQUE  OLARTE","F","ORGANIZACIÓN DE VÍCTIMAS","81","Llano"
"ARAUCA","CAMARA","CITREP","ASOCIACION DE VICTIMAS INTERCULTURAL Y REGIONAL","ISMAEL    JAIMES  CAMARGO","M","ORGANIZACIÓN DE VÍCTIMAS","81","Llano"
"ARAUCA","CAMARA","CITREP","ASOCIACION GRANJA INTEGRAL TAMARINDO ""GRANITA""","RODULFO   ARCINIEGAS GUEVARA","M","ORGANIZACIONES SOCIALES","81","Llano"
"ARAUCA","CAMARA","CITREP","ASOCIACION GRANJA INTEGRAL TAMARINDO ""GRANITA""","XIOMARA  BLANCO MACUALO","F","ORGANIZACIONES SOCIALES","81","Llano"
"ARAUCA","CAMARA","CITREP","FUNDACION PARA EL DESARROLLO SOCIAL DE LA ORINOQUIA","RAMON   JAHIR CORREDOR  MEDINA","M","ORGANIZACIONES SOCIALES","81","Llano"
"ARAUCA","CAMARA","CITREP","FUNDACION PARA EL DESARROLLO SOCIAL DE LA ORINOQUIA","JENNIFER    NATALIE DUQUE MUÑOZ","F","ORGANIZACIONES SOCIALES","81","Llano"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE PRODUCTORES AGROINDUSTRIALES DE MONTERREY SUR","ALICIA  MONROY  BARRERA","F","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE PRODUCTORES AGROINDUSTRIALES DE MONTERREY SUR","CESAR NORBEY GONZALEZ VELASQUEZ","M","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE VICTIMAS DE DESPLAZADOS POR EL CONFLICTO ARMADO DE SANTA ROSA (ADESAN)","ISIDRO  ALARCON BOHORQUEZ","M","ORGANIZACIÓN DE VÍCTIMAS","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE VICTIMAS DE DESPLAZADOS POR EL CONFLICTO ARMADO DE SANTA ROSA (ADESAN)","MARIA LOS ANGELES OTALVARO SANCHEZ","F","ORGANIZACIÓN DE VÍCTIMAS","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE PRODUCTORES DE ÑAME Y AGROPECUARIOS DE SAN CAYETANO","DAIRO JOSE BUSTILLO GOMEZ","M","ORGANIZACIÓN CAMPESINA","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE PRODUCTORES DE ÑAME Y AGROPECUARIOS DE SAN CAYETANO","ANAIS  MONTES RODRIGUEZ","F","ORGANIZACIÓN CAMPESINA","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE VICTIMAS DE CRIMENES DEL ESTADO ASORVIMM","MELKIN HERNAN CASTRILLON PEÑA","M","ORGANIZACIÓN DE VÍCTIMAS","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE VICTIMAS DE CRIMENES DEL ESTADO ASORVIMM","AURA YANIRA RICO MARMOL","F","ORGANIZACIÓN DE VÍCTIMAS","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE MUJERES DE DIOS ES AMOR","DIONISIO  ENRRIQUE MAURY TAPIA","M","ORGANIZACIÓN DE MUJERES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE MUJERES DE DIOS ES AMOR","ANACELIS  PALLARES VELASQUEZ","F","ORGANIZACIÓN DE MUJERES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","FEDERACION AGROMINERA DEL SUR DE BOLIVAR FEDEAGROMISBOL","PABLO DE JESUS SANTIAGO  QUINTANA","M","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","FEDERACION AGROMINERA DEL SUR DE BOLIVAR FEDEAGROMISBOL","MARGARITA  MONDRAGON PARRA","F","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE VICTIMAS MILITARES ASOVIMIL","LUIS ALFREDO MARTINEZ MOLINA","M","ORGANIZACIÓN DE VÍCTIMAS","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE VICTIMAS MILITARES ASOVIMIL","LADY TATIANA RIVERA CARABALLO","F","ORGANIZACIÓN DE VÍCTIMAS","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE PRODUCTORES DE CACAO APROCASUR","JUAN  CARLOS VARGAS SOLER","M","ORGANIZACIÓN CAMPESINA","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE PRODUCTORES DE CACAO APROCASUR","BLEIDYS JOHANA AREVALO CHAVEZ","F","ORGANIZACIÓN CAMPESINA","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE HOMBRES DE MI TIERRA","RAMIRO RAFAEL ORTEGA BUELVAS","M","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE HOMBRES DE MI TIERRA","DIDIER JUDITH DIETJEN MARQUEZ","F","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","FUNDACION CULTIVANDO ESPERANZAS PARA EL FUTURO","ESTEBAN  PEREZ MARTINEZ","M","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","FUNDACION CULTIVANDO ESPERANZAS PARA EL FUTURO","IDALIS MARIA NADAFF NARVAEZ","F","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE PRODUCTORES CAMPESINOS Y VICTIMAS DEL SUR BOLIVAR","FAVIO  RODRIGUEZ SIERRA","M","ORGANIZACIÓN CAMPESINA","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE PRODUCTORES CAMPESINOS Y VICTIMAS DEL SUR BOLIVAR","ERLENCY  PORTELA TORRES","F","ORGANIZACIÓN CAMPESINA","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","FUNDACION MUJERES DESPLAZADAS CABEZA DE HOGAR VICTIMAS DE LA VIOLENCIA RURAL Y URBANO MUDEVISA","ROBERTO CARLOS FUENTES  DEL TORO","M","ORGANIZACIÓN DE VÍCTIMAS","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","FUNDACION MUJERES DESPLAZADAS CABEZA DE HOGAR VICTIMAS DE LA VIOLENCIA RURAL Y URBANO MUDEVISA","AIDA ESTHER MOSQUERA ARIZA","F","ORGANIZACIÓN DE VÍCTIMAS","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE MUJERES EMPREDEDORAS VULNERABLES DE CANALETAL BOLIVAR","LUIS FRANCISCO GONZALEZ CABRERA","M","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE MUJERES EMPREDEDORAS VULNERABLES DE CANALETAL BOLIVAR","JOHANA  RODRIGUEZ TARAZONA","F","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE PEQUEÑOS PRODUCTORES AFRODESCENDIENTE DE LA ZONA PLATANERA DE SAN ONOFRE","JUAN MANUEL CARABALI ARAGON","M","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION DE PEQUEÑOS PRODUCTORES AFRODESCENDIENTE DE LA ZONA PLATANERA DE SAN ONOFRE","JANETH LUCIA AMAYA LOPEZ","F","ORGANIZACIONES SOCIALES","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION CAMPESINA PARA EL DESARROLLO AGROPECUARIO DE SIMITI","JOHAN  NARVAEZ GANDARA","M","ORGANIZACIÓN CAMPESINA","13","Caribe"
"BOLÍVAR","CAMARA","CITREP","ASOCIACION CAMPESINA PARA EL DESARROLLO AGROPECUARIO DE SIMITI","MABEL DEL CARMEN NAVARRO QUINTERO","F","ORGANIZACIÓN CAMPESINA","13","Caribe"
"CHOCÓ","CAMARA","CITREP","CONSEJO COMUNITARIO PEDEGUITA Y MANSILLA","JAZMIR  BLANDON  PALACIOS","M","CONSEJOS COMUNITARIOS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","CONSEJO COMUNITARIO PEDEGUITA Y MANSILLA","SHIRLEY  CORDOBA ROMAÑA","F","CONSEJOS COMUNITARIOS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","CORPORACION INTERETNICA ACUMENICA POR EL DESARROLLO DE LA RECNCILIACION Y PAZ TERRITORIAL CIEDERPAZ","JOSE RUTILIO RIVAS DOMINGUEZ","M","ORGANIZACIONES SOCIALES","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","CORPORACION INTERETNICA ACUMENICA POR EL DESARROLLO DE LA RECNCILIACION Y PAZ TERRITORIAL CIEDERPAZ","VICTORIA ELENA CORDOBA RUIZ","F","ORGANIZACIONES SOCIALES","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","ASOCIACIÓN CONSEJO DE AUTORIDADES WOUNDECO","LINO  MEMBORA  CARPIO","M","ORGANIZACIÓN DE VÍCTIMAS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","ASOCIACIÓN CONSEJO DE AUTORIDADES WOUNDECO","CARMENCITA  CHAMI TUNAY","F","ORGANIZACIÓN DE VÍCTIMAS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","REVIVIR SIPI","BLASNEY  MOSQUERA HURTADO","M","ORGANIZACIÓN DE VÍCTIMAS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","REVIVIR SIPI","ANA ROSALBA MOSQUERA PALACIOS","F","ORGANIZACIÓN DE VÍCTIMAS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","CONSEJO COMUNITARIO DEL RIO CURBARADO","JOSE SOCRATES PEREZ  MOSQUERA","M","CONSEJOS COMUNITARIOS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","CONSEJO COMUNITARIO DEL RIO CURBARADO","NALCY PATRICIA PALACIOS MOSQUERA","F","CONSEJOS COMUNITARIOS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","CONSEJO COMUNITARIO MAYOR CONDOTO RIO IRO","JORGE DANNER PEREA MOSQUERA","M","CONSEJOS COMUNITARIOS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","CONSEJO COMUNITARIO MAYOR CONDOTO RIO IRO","MARLENYS  RUIZ MOSQUERA","F","CONSEJOS COMUNITARIOS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","COMITÉ DOS DE MAYO","ZENAIDA EDITH MARTINEZ MARTINEZ","F","ORGANIZACIONES SOCIALES","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","COMITÉ DOS DE MAYO","JOSE DE LA CRUZ  VALENCIA CORDOBA","M","ORGANIZACIONES SOCIALES","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","CONSEJO COMUNITARIO RIO JIMIAGUANDO","JIMMY  RODRIGUEZ PALACIOS","M","CONSEJOS COMUNITARIOS","27","Pacífico"
"CHOCÓ","CAMARA","CITREP","CONSEJO COMUNITARIO RIO JIMIAGUANDO","MILDREY  TATIANA MOYA CORDOBA","F","CONSEJOS COMUNITARIOS","27","Pacífico"
"GUAVIARE","CAMARA","CITREP","ASOCIACIÓN DE AFROCOLOMBIANOS DEL GUAVIARE","ANA  DELIA CUNDUMI OROVIO","F","ORGANIZACIONES SOCIALES","95","Llano"
"GUAVIARE","CAMARA","CITREP","ASOCIACIÓN DE AFROCOLOMBIANOS DEL GUAVIARE","JAIRO   PATIÑO UMAÑA","M","ORGANIZACIONES SOCIALES","95","Llano"
"GUAVIARE","CAMARA","CITREP","ASOCIACIÓN DE MUJERES EMPRENDEDORAS VICTIMAS DEL CONFLICTO INTERNO","YINNA MARCELA RIVERA  SALAZAR","F","ORGANIZACIÓN DE VÍCTIMAS","95","Llano"
"GUAVIARE","CAMARA","CITREP","ASOCIACIÓN DE MUJERES EMPRENDEDORAS VICTIMAS DEL CONFLICTO INTERNO","CAMPO ELIAS CARDENAS URREA","M","ORGANIZACIÓN DE VÍCTIMAS","95","Llano"
"HUILA","CAMARA","CITREP","CORPORACION MUNICIPAL AGROECOLOGICA DE ALGECIRAS ""COMUNAS""","MARIA RUSDARY MONJE SANCHEZ","F","ORGANIZACIÓN CAMPESINA","41","Centro Sur"
"HUILA","CAMARA","CITREP","CORPORACION MUNICIPAL AGROECOLOGICA DE ALGECIRAS ""COMUNAS""","FIDEL  LISCANO VALDERRAMA","M","ORGANIZACIÓN CAMPESINA","41","Centro Sur"
"NORTE DE SANTANDER","CAMARA","CITREP","ASOCIACIÓN DE VICTIMAS CAMINOS DE ESPERANZA LAS MERCEDES","MAYRA ALEJANDRA GAONA PINZON","F","ORGANIZACIÓN DE VÍCTIMAS","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","ASOCIACIÓN DE VICTIMAS CAMINOS DE ESPERANZA LAS MERCEDES","PEDRO ELIAS QUINTERO MONTEJO","M","ORGANIZACIÓN DE VÍCTIMAS","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","ASOCIACIÓN AFROCOLOMBIANA SER NEGRO ES MAS SABROSO","VILMA  CONTRERAS MENDEZ","F","CONSEJOS COMUNITARIOS","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","ASOCIACIÓN AFROCOLOMBIANA SER NEGRO ES MAS SABROSO","ALFONSO  GALVIS ESTUPIÑAN","M","CONSEJOS COMUNITARIOS","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","ASOCIACIÓN DE PRODUCTORES DE MESALLANA","TATIANA JUDTIH GAONA PINZON","F","ORGANIZACIÓN CAMPESINA","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","ASOCIACIÓN DE PRODUCTORES DE MESALLANA","YOAD ERNESTO PEREZ BECERRA","M","ORGANIZACIÓN CAMPESINA","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","ASOCIACIÓN DE FAMILIAS DESPLAZADAS DE HACARÍ - ASOFADHACA","DIOGENES  QUINTERO AMAYA","M","ORGANIZACIÓN DE VÍCTIMAS","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","ASOCIACIÓN DE FAMILIAS DESPLAZADAS DE HACARÍ - ASOFADHACA","AMANDA  LOPEZ HERNANDEZ","F","ORGANIZACIÓN DE VÍCTIMAS","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","CORPORACIÓN MESA DE FORTALECIMIENTO DE ORGANIZACIONES DE POBLACIÓN DESPLAZADA DE NORTE DE SANTANDER","JUAN CARLOS QUINTERO SIERRA","M","ORGANIZACIONES SOCIALES","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","CORPORACIÓN MESA DE FORTALECIMIENTO DE ORGANIZACIONES DE POBLACIÓN DESPLAZADA DE NORTE DE SANTANDER","MIRYAM YANETH ANTELIZ PEREZ","F","ORGANIZACIONES SOCIALES","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","CORPORACIÓN RED DEPARTAMENTAL DE DEFENSORES DE DERECHOS HUMANOS","TANIA  MALLORGA ROPERO","F","ORGANIZACIONES SOCIALES","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","CORPORACIÓN RED DEPARTAMENTAL DE DEFENSORES DE DERECHOS HUMANOS","NAUN  AREVALO CAÑIZARES","M","ORGANIZACIONES SOCIALES","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","RESGUARDO INDIGENA GABARRA CATALAURA","JUDITH  AZOIRA SAGBADARA","F","RESGUARDO INDIGENA","54","Centro Oriente"
"NORTE DE SANTANDER","CAMARA","CITREP","RESGUARDO INDIGENA GABARRA CATALAURA","JHON JAIRO MARQUEZ GUERRERO","M","RESGUARDO INDIGENA","54","Centro Oriente"
"PUTUMAYO","CAMARA","CITREP","ASOCIACION EL PROGRESO","AURA  LILIA  HURTADO  ANGULO","F","ORGANIZACIONES SOCIALES","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","ASOCIACION EL PROGRESO","ARGEMIRO   PENAGOS  LEYVA","M","ORGANIZACIONES SOCIALES","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","TEJIENDO SUEÑOS","LUZ DARIS MUÑOZ  GARCES ","F","ORGANIZACIÓN DE VÍCTIMAS","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","TEJIENDO SUEÑOS","FREDY ALBERTO MARTINEZ ESPAÑA","M","ORGANIZACIÓN DE VÍCTIMAS","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","ASOCIACION DE MUJERES VICTIMAS DE VILLAGARZON ADMUVIV","MARTHA NIRIS SOLARTE  YELA","F","ORGANIZACIÓN DE VÍCTIMAS","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","ASOCIACION DE MUJERES VICTIMAS DE VILLAGARZON ADMUVIV","WILSON  ARIEL CHAVERRA PALMA","M","ORGANIZACIÓN DE VÍCTIMAS","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","CONSEJO COMUNITARIO LOS ANDES ","JHON  FREDI VALENCIA CAICEDO","M","CONSEJOS COMUNITARIOS","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","CONSEJO COMUNITARIO LOS ANDES ","YULY PAOLA ARTULUAGA TREJO","F","CONSEJOS COMUNITARIOS","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","ASOCIACION DE JUVENTUD EMPRENDEDORA Y VICTIMA DEL CONFLICTO ARMADO","MONICA ANDREA  CUELLAR RIVERA ","F","ORGANIZACIÓN DE VÍCTIMAS","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","ASOCIACION DE JUVENTUD EMPRENDEDORA Y VICTIMA DEL CONFLICTO ARMADO","MANUEL  EDUARDO  CAICEDO  GOMEZ","M","ORGANIZACIÓN DE VÍCTIMAS","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","ASOCIACION POR LOS DERECHOS HUMANOS DE LAS COMUNIDADES AFROPUTUMAYENSES","ARGENIS  MONTENEGRO CUCHIMBA","F","ORGANIZACIONES SOCIALES","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","ASOCIACION POR LOS DERECHOS HUMANOS DE LAS COMUNIDADES AFROPUTUMAYENSES","JHON  FREDY VOCANEGRA ","M","ORGANIZACIONES SOCIALES","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","FUNDACION GRUPO AMIGOS DE LA BIBLIOTECA","ITALO ERNESTO  PANTOJA  CABRERA","M","ORGANIZACIONES SOCIALES","86","Centro Sur"
"PUTUMAYO","CAMARA","CITREP","FUNDACION GRUPO AMIGOS DE LA BIBLIOTECA","CARMEN LEONOR  ROA CUUZ","F","ORGANIZACIONES SOCIALES","86","Centro Sur"
"TOLIMA","CAMARA","CITREP","FUNDACION PARA EL DESARROLLO SOCIAL Y EMPRESARIAL FUNDESOE","YILBER  GUEPENDO OLARTE ","M","ORGANIZACIONES SOCIALES","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","FUNDACION PARA EL DESARROLLO SOCIAL Y EMPRESARIAL FUNDESOE","NIYIRETH  OSPINA  SANCHEZ","F","ORGANIZACIONES SOCIALES","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","ASOCIACION DE DESPLAZADOS POR UN MAÑANA MEJOR DEL MUNICIPIO DE PLANADAS TOLIMA ","BLANCA  CECILIA YARA  TAPIERO","F","ORGANIZACIÓN DE VÍCTIMAS","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","ASOCIACION DE DESPLAZADOS POR UN MAÑANA MEJOR DEL MUNICIPIO DE PLANADAS TOLIMA ","GUSTAVO  GRAJALES BERMUDEZ ","M","ORGANIZACIÓN DE VÍCTIMAS","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","ASOCIACION DE RETORNO RENACIENDO EL CAMPO DE SANTA RITA Y BALSILLAS DE ATACO ","JHALEXA YUMARA  PERDOMO PERDOMO","F","ORGANIZACIÓN DE VÍCTIMAS","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","ASOCIACION DE RETORNO RENACIENDO EL CAMPO DE SANTA RITA Y BALSILLAS DE ATACO ","ARNOLDO   RAMIREZ  RAMIREZ ","M","ORGANIZACIÓN DE VÍCTIMAS","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","FUNDACION VICTIMAS CON FUTURO CIERTO FUNVICIERTO ","MARTHA  SOFIA LUGO NIETO","F","ORGANIZACIÓN DE VÍCTIMAS","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","FUNDACION VICTIMAS CON FUTURO CIERTO FUNVICIERTO ","JOSE MESIAS  DIAZ  MORA ","M","ORGANIZACIÓN DE VÍCTIMAS","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","FUNDACION MIL JOVENES POR EL PROGRESO DE UN PUEBLO","JULIAN ENRIQUE GOMEZ RODRIGUEZ","M","ORGANIZACIONES SOCIALES","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","FUNDACION MIL JOVENES POR EL PROGRESO DE UN PUEBLO","YISELA  VARGAS GONZALEZ","F","ORGANIZACIONES SOCIALES","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","RESGUARDO INDIGENA PAEZ DE GAITANIA","JOSE  ALDEMAR MOLANO CARVAJAL","M","RESGUARDO INDIGENA","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","RESGUARDO INDIGENA PAEZ DE GAITANIA","TERESA   CALAMBAS  ALMENDRA ","F","RESGUARDO INDIGENA","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","FUNDACION DESPLAZADOS VICTIMAS DE LA VIOLENCIA DEL TOLIMA ","CONSTANZA   RODRIGUEZ  GUZMAN ","F","ORGANIZACIÓN DE VÍCTIMAS","73","Centro Sur"
"TOLIMA","CAMARA","CITREP","FUNDACION DESPLAZADOS VICTIMAS DE LA VIOLENCIA DEL TOLIMA ","CHENIER  JESUS  HERNANDEZ  OCAMPO ","M","ORGANIZACIÓN DE VÍCTIMAS","73","Centro Sur"
