,descripcion,nombre,partido,instagram,facebook,linkedin,tiktok,web,twitter,Circunscripción,Grado de estudio,Profesión,Cuatrienio,Fecha de nacimiento,Edad,Lugar de nacimiento,Género,Whatsapp,Oficina,Teléfono Oficina,Correo Electrónico,YouTube
22,Universidad Politécnico Marco Fidel Suarez Medellín (sede Arauca) –Colombia Técnico Profesional en Procedimientos Judiciales 1999.Universidad Autónoma de las Américas Administración de EmpresasOtros Estudios Realizados Diplomado en Procesos de Calidad para la Atención al Ciudadano FundaciónUniversitaria Luís Amigó BogotáDiplomado Formación Ciudadana para el Desarrollo local y Gestión de lo públicoFundación San Mateo AraucaSeminario Taller “Policía Testigo” United States Departament Of JusticeInternational Criminal Investigative TrainingPOLICIA NACIONAL DE COLOMBIADesde 18/ENE/1991 hasta 02/NOV/2012 (22 años 6 meses)CARGO: AGENTE PROFESIONAL DE POLICÍA,José Vicente Carreño Castro,Centro Democrático,,https://www.facebook.com/JVC101C/,,,,https://twitter.com/joseVcarreno101,Circunscripción Nacional en Meta,Universitaria,Administrador/a de empresas,2022 - 2026,21 de abril de 1972,51,Barrancabermeja,Masculino,,314B - 321B Edificio Nuevo Congreso,(57+1) 3904050 ext: 3842 - 3843,,
23,"Administradora de Empresas y Especialista en Gerencia Pública de la CorporaciónUniversitaria del Caribe (CECAR), con postgrado en Gobierno y Gestión PúblicaTerritorial de la Pontificia Universidad Javeriana. Casada con Mario Alberto Fernández Alcocer, (Senador del Partido Liberal) con quien tiene 2 hijos, Juan Mario y Daniel.En el año 2005 representó a Sucre en el Concurso Nacional de Belleza; fue Gestora Social del Municipio de Sincelejo durante el período 2012-2015. Lideró la estructuración de la Política Pública para Niños, Niñas, Jóvenes y Adolescentes de Sincelejo. Se destacó por ser defensora de los Derechos Humanos y activista por los derechos de las personas LGBTI.Ana María es una destacada Gestora Cultural del Departamento de Sucre. Fue anfitriona de las Fiestas del 20 de Enero de Sincelejo como Reina Central; luego trabajó como Asesora de las Festividades durante el período 2008-2011 y en su labor como Gestora Social de Sincelejo, lideró proyectos para la preservación de la Cultura y el Arte.Tomado de:https://www.anamariasenadora.com/perfilEnlace Sigep: https://bit.ly/2v7EtPI",Ana María Castañeda Gómez,Cambio Radical,https://www.instagram.com/anymarcas/,https://www.facebook.com/AnyMarCas/,,,,https://twitter.com/AnyMarCas,Circunscripción Nacional en Sucre,Especialización,Administrador/a de empresas,2022 - 2026,27 de diciembre de 1984,38,Sincelejo,Femenino,300 6361164,217B Ed. Nuevo Congreso,382 3000 ext: 3697 - 3698 - 3739,,
24,"Profesional en Gobierno y Relaciones en la Universidad de Regent en Virginia, Estados Unidos. Actualmente está cursando una maestría en Administración pública en la Universidad Liberty.  

https://saracastellanos.com/sara-castellanos/",Sara Jimena Castellanos Rodríguez,Liberal Colombiano,https://www.instagram.com/sarag12/?hl=es,https://www.facebook.com/saracastellanosg12/,,,,https://twitter.com/sarag12,Circunscripción Nacional en Distrito Capital,Universitaria,Politólogo/a,2022 - 2026,19 de julio de 2022,Sin edad asignada,Bogotá,Femenino,,,,,
25,"Abogado de la Universidad Libre, fue alcalde entre 2016 y 2019 de Toledo, Norte de Santander.",Jairo Alberto Castellanos Serrano,Alianza Verde Centro Esperanza Coalición,https://www.instagram.com/jairo_castellanos_50/,https://www.facebook.com/jairoalberto.castellanosserrano,,,,https://twitter.com/JairoSenador50,Circunscripción Nacional en Norte de Santander,Universitaria,Abogado/a,2022 - 2026,20 de julio de 2022,Sin edad asignada,Toledo,Masculino,,,,,
26,"Estudió filosofía en la Universidad de Sofía (Bulgaria), tras haber crecido en el exilio entre Checoslovaquia y Cuba. Su padre Manuel Cepeda fue un dirigente de izquierda que fue elegido congresista por la Unión Patriotica y asesinado en 1994. Su madre, la líder sucreña Yira Castro, fue concejal de Bogotá por la Unión Nacional de Oposición. Luego de que en 2000 fueran condenados dos suboficiales por el asesinato de su padre, Cepeda salió exiliado a Francia, donde realizó una especialización en Derecho Internacional Humanitario en la Universidad Católica de Lyon. Las víctimas han sido una de sus banderas políticas, principalmente a través del Movimiento Nacional de Víctimas de Crímenes de Estado (Movice) del que es vocero. A finales de 2009 decidió lanzarse a la política, por el Polo Democrático y con el apoyo del Movice. Llegó a la Cámara por Bogotá con 35 mil votos, la cuarta votación más alta en la ciudad y la segunda del Polo, detrás de Germán Navas Talero. Ahora, con la segunda mayor votación del Polo, llega al Senado.Tiene manejo legislativo del tema de su comisión: Algo¿Por qué?: Su pregrado es en filosofía y su maestría es en Derecho Internacional Humanitario, lo cual no tiene que ver directamente con los temas de su comisión (Política internacional, defensa nacional y fuerza pública, comercio exterior e integración económica, fronteras, extranjeros, monumentos públicos), pero viene de estar en esa célula y se ha destacado por varios debates de control político.Fuente: http://bit.ly/2foff4Q",Iván Cepeda Castro,Pacto Histórico Coalición,,https://www.facebook.com/IvanCepedaCastro/,,,,,Circunscripción Nacional en Distrito Capital,Maestría,Filosofo/a,2022 - 2026,24 de octubre de 1962,60,Bogotá,Masculino,301 578 7658,636B-638B Ed. Nuevo Congreso,382 3000 ext: 3507 - 3787 - 4416,ivancepedacamarabogota@gmail.com,https://www.youtube.com/user/IvanCepedaCastro
27,"Nació en Barranquilla en 1950. Es economista industrial y especialista en altas finanzas. Capitán de corbeta de la reserva naval, Dirigente empresarial y gremial en el Atlántico, la región Caribe y el país por 17 años. Ha sido Senador de la República por 18 años consecutivos, desempeñandose como Primer Vicepresidente del Senado, dos veces Presidente y dos veces Vicepresidente de la Comisión Cuarta de esta institución.En el año 2008 obtuvo la más alta votación en el país en la elección de los miembros del Directorio Nacional Conservador con 164 mil votos. Además de ser elegido Vicepresidente de la ODCA, Organización Demócrata Cristiana de América.Desde el Partido Conservador promovió los dos programas bandera de la política social en Colombia: Familias en Acción y la Banca de Oportunidades. Condujo al Partido Conservador al triunfo en las elecciones regionales de 2007, convirtiéndolo en el partido con mayor número de alcaldes en el país, e incrementando su votación en medio millón de votos, Liderando la democratización del mismo con la consulta de 2008, cuando se eligieron todos los directorios, incluido el nacional, por votación popular, y se consolidó la renovación generacional y la participación de la mujer.Adhirió a la Campaña por la Transparencia que creó una sección en la página principal del Senado en la que los ciudadanos podrán consultar el nombre del senador, el partido de elección, su Declaración juramentada de bienes, el Registro de conflicto de intereses y los nombres de los miembros de Unidad de Trabajo Legislativo (UTL). Mayor información: www.senado.gov.coPara conocer su gestión durante el actual cuatrienio: https://www.dropbox.com/s/mxowmgr6c89962u/Efra%C3%ADn%20Jos%C3%A9%20Cepeda%20Sanabria%20reporte.pdf",Efraín José Cepeda Sarabia,Conservador Colombiano,,https://www.facebook.com/EfrainCepedaSenador/?fref=ts,,,,,Circunscripción Nacional en Atlántico,Especialización,Economista,2022 - 2026,24 de mayo de 1950,73,Barranquilla,Masculino,3135352800,226 Ed. Nuevo Congreso,3823066 - 3823217 - 382 3000 ext: 3218-3066- 3217 Fax: 3823218,efraincepeda@hotmail.com,http://www.youtube.com/channel/UCirkRwmEX3TVEAEHS3VZ0BA
28,"Es un abogado especialista en derecho administrativo, con estudios en Pedagogía de la Ciencia así como una Maestría de Derecho Penal y Criminológico. Se ha caracterizado como líder desde muy joven; en las aulas universitarias fue presidente del consejo Estudiantil durante 5 años y miembro del Comité de Unidad Académica y del Consejo Directivo de la Universidad Libre.Fue asesor de la Organización de Estados Iberoamericanos y asesor del Ministerio de Comunicaciones. Posteriormente ha sido en propiedad o en encargo: subgerente regional de La Previsora, Secretario de Derecho de la Comunidad de la Alcaldía de Cúcuta, Liquidador del Instituto de Desarrollo Urbano de Cúcuta, Director del Instituto Municipal de Recreación y Deporte de la Alcaldía de Cúcuta. Adiconalmente fue el primer Presidente de la Junta Directiva de Imsalud, en más de 35 oportunidades fue alcalde encargado de la ciudad de Cúcuta y ha sido docente de la Universidad Libre y la Universidad Simón Bolívar.Representante a la Cámara desde 2010.Fuente: http://bit.ly/j3Nt8T",Alejandro Carlos Chacón Camargo,Liberal Colombiano,,https://www.facebook.com/alejandrocarloschacon/,,,,https://twitter.com/ChaconDialoga,Circunscripción Nacional en Norte de Santander,Maestría,Abogado/a,2022 - 2026,2 de octubre de 1972,50,Cúcuta,Masculino,310 787 8651,427 - 429 Ed Nuevo del Congreso,4325100 ext: 3396 - 3412 - 3483,carloschacon1@gmail.com,
29,,Julio Elías Chagüi Flórez,Partido de la U - Partido de la Unión por la Gente,https://www.instagram.com/juliochaguisenado/?hl=es,https://www.facebook.com/jechagui,,,,https://twitter.com/juliochagui,Circunscripción Nacional en Córdoba,Sin grado de estudio,Empresario,2022 - 2026,1 de enero de 1981,42,Cereté,Masculino,,,,,
30,"El Senador Arturo Char Chaljub es un colombiano polifacético. Hombre de familia, con espíritu alegre y amante del deporte, la música y la cultura, su mayor pasión es el servicio a su ciudad natal, Barranquilla, al departamento del Atlántico, a la región Caribe y a todo el país.Administrador de Empresas y Mercadeo de la Kennesaw State University de Georgia, Estados Unidos, Arturo Char Chaljub hizo parte del Programa de Alta Dirección- PADE del INALDE Business School de la Universidad de la Sabana. Esta formación le ha permitido desempeñarse con éxito en altos cargos en los sectores público y privado. Se ha destacado como empresario, dirigente deportivo y diplomático. En la actualidad, desde sus funciones como parlamentario, ha hecho aportes al desarrollo social de Colombia bajo la convicción de que, más que palabras, el país necesita acciones que siempre deben estar conectadas con las necesidades reales e inmediatas de las familias colombianas.En el campo diplomático, Char se desempeñó como Primer Secretario de la Embajada de Colombia en Londres, Inglaterra, y en el sector privado fue Presidente del Junior de Barranquilla. Ambas experiencias le aportaron de forma definitiva para contar con una mirada integral de los sectores público y privado de Colombia.El senador sigue trabajando desde el Congreso con la convicción de que desde cualquier rol que desempeñe en el país hará el máximo esfuerzo para aportarle a la sociedad más oportunidades de progreso, más aún, en el momento coyuntural que vive Colombia.",Arturo Char Chaljub,Cambio Radical,,https://www.facebook.com/Arturo-Char-274130866265789/,,,,https://twitter.com/arturocharc,Circunscripción Nacional en Atlántico,Universitaria,Administrador/a de empresas,2022 - 2026,5 de noviembre de 1967,55,Barranquilla,Masculino,,430 Ed. Nuevo del Congreso,3823473/74 Fax 3823173 -- 382 3000 ext: 3173 - 3473 - 3474,arturo.char.chaljub@senado.gov.co,
31,"Abogada y política colombiana, nacida en Medellín, Antioquia, el 25 de enero de 1955. Desde la adolescencia inició su trabajo social y político en las comunidades marginadas de Medellín (Antioquia), vinculada al Partido Liberal. Actualmente es la líder del movimiento Poder Ciudadano Siglo XXI, perteneciente al ala izquierda de este partido político.IniciosSe graduó como abogada en la Universidad Pontificia Bolivariana de Medellín, obteniendo posteriormente sus títulos de Especialista en Derecho Laboral y Desarrollo Organizacional en la misma universidad, y Especialista en Opinión Pública y Mercadeo, en la Pontificia Universidad Javeriana (Bogotá). Córdoba siempre ha mantenido un carácter progresista, liberal y anticlerical en su vida política, la cual inició al lado del dirigente William Jaramillo. Entre 1984 y 1986 ocupó su primer cargo público como subcontralora municipal de Medellín. En este último año William Jaramillo fue designado alcalde de esa ciudad y la nombró como su Secretaría Privada, un cargo del gabinete municipal que la convirtió en la mano derecha del alcalde durante los dos años que estuvo al frente de la administración.En 1988 obtiene su primer cargo de elección popular como edil y después es elegida concejala de Medellín para un periodo de dos años. Su destacada labor le anima a postular para la Cámara de Representantes en 1990, pero es derrotada; meses después obtuvo un escaño para la Asamblea departamental de Antioquia. Tras la revocatoria del Congreso en 1991, se presenta nuevamente como candidata a la Cámara y obtiene un escaño por su departamento para el bienio 1992-1994. En 1994 William Jaramillo anuncia que no buscará la reelección como senador, y Piedad Córdoba se convierte en la heredera de su corriente política, siendo elegida senadora de la República por primera vez para el periodo 1994-1998.ConsolidaciónEn 1998 obtiene la reelección como senadora, y en este periodo legislativo agrega a sus temas típicos de debate (minorías, madres comunitarias) el tema de la solución negociada del conflicto armado, por lo cual llegó a ser secuestrada por orden del líder de las Autodefensas Unidas de Colombia (AUC), Carlos Castaño, en 1999. Luego de varias semanas fue liberada del cautiverio, y decide exiliarse junto con su familia en Canadá. Después del exilio, retorna al país para continuar con su trabajo político, pero resulta víctima de dos atentados, de los que sale ilesa; decide entonces que sus hijos residan permanentemente en Canadá.Para las elecciones de 2002, la senadora Córdoba no puede realizar campaña en varias zonas en las que tradicionalmente había obtenido sus mejores votaciones, debido a la presión de las AUC en estas regiones. Pese a ello, alcanza a renovar su escaño, obteniendo por primera vez una votación significativa en Bogotá. Durante este periodo cabe destacar el fuerte debate por corrupción que realizó al entonces ministro de Interior y Justicia, Fernando Londoño Hoyos en 2003. Luego de este debate fue tal la notoriedad que alcanzó que fue elegida Presidenta de la Dirección Nacional Liberal.En 2005 el Consejo de Estado, luego de investigaciones a raíz de denuncias de fraude electoral, modificó el resultado de las elecciones de 2002, tras decidir anular algunas mesas de votación en los departamentos de Valle del Cauca y Atlántico. El nuevo resultado dejó por fuera de los elegidos a Piedad Córdoba, por lo que durante dicho periodo se dedicó a fortalecer la corriente de izquierda del Partido Liberal. Por esta razón, funda el movimiento Poder Ciudadano como movimiento adscrito al Partido Liberal.A Piedad Córdoba se le considera como una de las colombianas más representativas del movimiento latinoamericano feminista. Hace parte del grupo interparlamentario poblacional por medio del cual se impulsan políticas públicas en salud sexual y reproductiva. Ha representado con brillantez a su organización política y al país en importantes foros y encuentros mundiales, entre ellos la Conferencia de la Mujer realizada en Pekín, China, en 1995.Trabajo legislativoHizo parte de la comisión séptima del Senado, que trata asuntos laborales y de protección social. Fue delegada ante el Parlamento Latinoamericano. Ha pertenecido, además, a las Comisiones Tercera de Asuntos económicos, Quinta de Minas y Energía y Segunda de Relaciones exteriores. Fue igualmente miembro y Presidenta de la Comisión de Derechos Humanos del Senado y de la Comisión de Paz. Como congresista ha impulsado proyectos en beneficio de la participación democrática las madres comunitarias, mujeres cabeza de hogar, comunidad afrocolombiana y comunidad LGBT, y se ha pronunciado en contra de la violencia intrafamiliar y la corrupción.Acuerdo Humanitario y Solución política al conflicto armado internoA finales de 2007 fue nombrada mediadora por el gobierno para lograr la liberación de secuestrados por la guerrilla de las FARC, desde ese entonces la Senadora Córdoba ha desempeñado un papel central en los esfuerzos en curso para llegar a un acuerdo humanitario. En 2008, junto al Presidente Venezolano Hugo Chávez logró la libertad de un grupo de políticos. A principios de febrero del año 2009, Córdoba consiguió junto al grupo Colombianos por la paz (http://www.colombianosporlapaz.com), liderado por ella, la liberación de 6 rehenes en poder de las FARC, incluidos los dos últimos funcionarios políticos de alto perfil mantenidos en cautiverio por el grupo insurgente y cuatro miembros de la fuerza pública. Córdoba es una de las principales defensoras de una solución política negociada al conflicto que atraviesa Colombia en las últimas décadas. De base social amplia, a Colombianos por la paz, pertenecen un importante grupo de académicos, dirigentes políticos y líderes de la sociedad civil que abogan por una paz negociada .Senadora VirtualEs considerada pionera en la utilización de nuevas tecnologías, su página web http://www.piedadcordoba.net ha ganado varios premios internacionales como la de mejor página de política en América Latina del 2005 por e-lecciones.net, al igual que numerosas nominaciones al respecto. Ha sido reconocida nacional e internacionalmente por su trabajo político utilizando la Internet.Aspiraciones presidencialesEn mayo de 2003 registró la más alta votación del Primer Congreso Nacional del Partido Liberal Colombiano, que le permitió llegar a desempeñarse por segunda vez como Codirectora y por primera vez como su Presidenta. Desde entonces se ha ido perfilando como una de las líderes más representativas de su partido, siendo postulada como candidata para las elecciones presidenciales de 2006, lo cual rechazó. Para las elecciones a realizarse en el periódo 2010 – 2014, su nombre también fue contemplado en las encuestas, logrando en la actualidad una amplia intención de voto como probable candidata del Partido Liberal.Fuente: http://bit.ly/a2G5Gj",Piedad Esneda Cordoba Ruiz,Pacto Histórico Coalición,https://www.instagram.com/piedadcordobaruiz.oficial/,https://www.facebook.com/PiedadCordobaRuiz,,,,https://twitter.com/piedadcordoba,Circunscripción Nacional en Distrito Capital,Especialización,Abogado/a,2022 - 2026,25 de enero de 1955,68,Medellín,Femenino,,,,piedadcordoba@hotmail.com,
32,"FORMACIÓN ACADÉMICAUniversidad del NorteI Semestre Post grado Gerencia Financiera en Salud.Universidad CecarPost- Grado Gerencia PúblicaSincelejoUniversidad CecarDiplomado en alta Gerencia, MarketingY Auditoria en Salud.Sincelejo.Universidad MetropolitanaMedico y CirujanoBarranquilla.EXPERIENCIA LABORALNOMBRE DE LA EMPRESA: DASSALUD SUCRECARGO: AsesorFUNCIONES: Asesorar en el area de la salud a esta importante Secretaria de la gobernacion del Departamento de Sucre.JEFE INMEDIATO: Hugo Vega.NOMBRE DE LA EMPRESA: CONFIAR E.UCARGO: AsesorFUNCIONES: Asesorar en el area de la salud a esta importante empresa del area farmaceutica.JEFE INMEDIATO: Julio Mariota C.NOMBRE DE LA EMPRESACARGO: Medico General Hospital NazarethFUNCIONES: Consulta de medicina general, medico urgencias, medico del area de gineco obstetricia.JEFE INMEDIATO: Dr Jairo Molina2003 .NOMBRE DE LA EMPRESACARGO: Medico SAI IPSFUNCIONES: Consulta de medicina general.NOMBRE DE LA EMPRESACARGO: Medico Rural Hospital Local de MalamboFUNCIONES: Consulta de medicina general, medico urgencias, medico del area de gineco obstetricia.JEFE INMEDIATO: Dr Alberto Gutierrez.NOMBRE DE LA EMPRESACARGO: Medico Interno Hospital MetropolitanoFUNCIONES: Consulta de medicina general, medico urgencias, medico del area de gineco obstetricia.NOMBRE DE LA EMPRESACARGO: Medico Interno Hospital San JeronimoFUNCIONES: Consulta de medicina general, medico urgencias, medico del area de gineco obstetricia.JEFE INMEDIATO: Dr Jairo Llorente.EXPERIENCIA ACADEMICA Medico interno Hospital san Jerónimo de Montería Medico interno Hospital Metropolitano de Barranquilla Medico ruralito Escuela Naval ARC Barranquilla Medico Rural Hospital local de Malambo – AtlánticoAdhirió a la Campaña por la Transparencia que creó una sección en la página principal del Senado en la que los ciudadanos podrán consultar el nombre del senador, el partido de elección, la votación obtenida, su Declaración juramentada de bienes, el Registro de conflicto de intereses y los nombres de los miembros de Unidad de Trabajo Legislativo (UTL) del senador.Mayor información: www.senado.gov.coPara conocer su gestión durante el actual cuatrienio: https://www.dropbox.com/s/vr8wwtfs0trwzmn/Antonio%20Jos%C3%A9%20Correa%20Jim%C3%A9nez%20reporte.pdf",Antonio Jose Correa Jimenez,Partido de la U - Partido de la Unión por la Gente,,https://www.facebook.com/profile.php?id=100076011855440,,,,https://mobile.twitter.com/_AntonioCorrea,Circunscripción Nacional en Bolívar,Universitaria,Ciencias de la Salud,2022 - 2026,14 de junio de 1975,48,Cartagena,Masculino,,,,,https://www.youtube.com/channel/UCsU-xVPzOnGpnk5KCD3q6TQ
33,"Imelda Daza Cotes (Valledupar, 17 de marzo de 1948) es una economista, docente, activista política y política colombo-sueca.1 Ha participado en movimientos políticos de izquierda de Colombia y de Suecia.Sacado de: https://es.wikipedia.org/wiki/Imelda_Daza",Imelda Daza Cotes,Comunes,,https://www.facebook.com/imeldadazacotes,,,,https://twitter.com/Imeldadaza,Circunscripción Nacional en Distrito Capital,Universitaria,Economista,2022 - 2026,17 de marzo de 1948,75,Valledupar,Femenino,,,,,
34,"Técnico en Agroecología, ingeniería agrónoma en la Universidad de Nariño y Licenciatura en Educación Ambiental y Desarrollo Comunitario en la Universidad Santo Tomás.https://www.robertdaza.net/index.php/historiadevida/",Robert Daza Guevara,Pacto Histórico Coalición,,https://www.facebook.com/RobertDazaGuevara,,,,https://twitter.com/YSoyCampesino,Circunscripción Nacional en Nariño,Universitaria,Ingeniero/a,2022 - 2026,20 de julio de 2022,Sin edad asignada,San Pablo,Masculino,,,,robert.daza@senado.gov.co,
35,"Abogado, político, profesor, diplomático, escritor colombiano; con experiencia en políticas y asuntos públicos, derecho constitucional y administrativo.",Humberto de la Calle Lombana,Alianza Verde Centro Esperanza Coalición,https://www.instagram.com/delacallehum/?hl=es,https://www.facebook.com/DeLaCalleHum,,,,https://twitter.com/DeLaCalleHum,Circunscripción Nacional en Distrito Capital,Universitaria,Abogado/a,2022 - 2026,14 de julio de 1946,76,Ansermanuevo,Masculino,,,,,
36,"Sus estudios básicos los hizo en el Colegio Gimnasio Cerromar de Riohacha. Luego obtuvo título de profesional en Derecho y Especialista en Derecho de las Telecomunicaciones en la Universidad Externado de Colombia. Realizó diplomado en gerencia financiera en la Universidad Javeriana de Bogotá y viajó a Londres, Inglaterra, a perfeccionar el inglés. Culminó satisfactoriamente el programa de Alto Gobierno en la Universidad de los Andes, así mismo, realizó curso integral de Defensa nacional en la Escuela Superior de Guerra.Su carrera laboral la comenzó como asesor de un magistrado en el Consejo de Estado, luego pasó al Tribunal Administrativo de Cundinamarca y después se vinculó al sector de las telecomunicaciones; siendo inicialmente, Secretario General de una empresa agente comercial denominada Superview Telecomunicaciones. Tiempo después fue designado como Coordinador de regulación de Televisión por Suscripción para Latinoamérica en Telmex.Seguidamente fue nombrado como Presidente del Gremio de Televisión por suscripción y Satelital de Colombia, responsabilidad que lo llevó a representarlos ante el Ministerio de Comunicaciones, Congreso de la República, Presidencia de la República, congresos y eventos internacionales, autoridades locales y departamentales. Igualmente fungió como Representante Legal suplente de Telmex Colombia y cierra su carrera laboral en el sector de las comunicaciones como Gerente Regulatorio para asuntos de televisión por suscripción en Telmex Colombia.En el 2010 es elegido como Representante a la Cámara por el Departamento de la Guajira, completando para la fecha, 3 periodo consecutivos en dicho oficio. Una vez ingresó a la Cámara como miembro del partido de la U, ha obtenido calidades como Copresidente del partido y vocero de la Bancada ante la Mesa Directiva de la Corporación. Fue Presidente de la Cámara de Representantes en el periodo legislativo 2015-2016 y actualmente pertenece a la comisión primera constitucional permanente de dicha Corporación.En la actualidad (2019) cursa una maestría en Derecho Económico, con énfasis en derecho económico Internacional en la Universidad Externado de Colombia.Fuente: información enviada por la UTL del representante",Alfredo Rafael Deluque Zuleta,Partido de la U - Partido de la Unión por la Gente,,https://www.facebook.com/aldeluque,,,,https://twitter.com/deluque,Circunscripción Nacional en La Guajira,Especialización,Abogado/a,2022 - 2026,21 de febrero de 1977,46,Riohacha,Masculino,315 328 7525,Capitolio Piso 3,4325100 ext 5346 - 5344 - 5370 - 5495,,
37,"Edgar Jesús Díaz Contreras es Administrador de Empresas, especialista en Administración Pública y Alta Gerencia, cuenta con una amplia experiencia en el sector público en donde se ha destacado como Secretario de Hacienda Departamental, Contralor Municipal del municipio de Villa del Rosario, Concejal de San José de Cúcuta, Secretario de Educación Departamental y Gobernador del Departamento de Norte de Santander.Tomado de: https://edgardiazcontreras.com/acerca-del-movimiento/",Edgar Jesús Díaz Contreras,Cambio Radical,,https://www.facebook.com/EdgarDiazPaLante,,,,https://twitter.com/edgardiazpalant?lang=es,Circunscripción Nacional en Norte de Santander,Especialización,Administrador/a de empresas,2022 - 2026,15 de febrero de 1961,62,Chinácota,Masculino,,623 Ed. Nuevo Congreso,382 3000 ext: 3673 - 3674 - 3734,,https://www.youtube.com/channel/UCnhGrFkEBMA0JMtPDli8ZDw
38,"Líder ambiental de Piedecuesta, ha sido visible en el movimiento ambiental del departamento. Trabajó en la Alcaldía de Piedecuesta en la Oficina de Control Interno.Administrador de empresas en la Universidad Cooperativa de Colombia, y es perito certificado por la Lonja de Propiedad horizontal, así como tecnólogo del Sena en mercado y venta de bienes inmuebles.Tomado de: https://www.fabian-diaz.com/quienes-somos",Edwing Fabián Díaz Plata,Alianza Verde Centro Esperanza Coalición,,https://es-la.facebook.com/pg/fabiandiazcomunidad/photos/?ref=page_internal,,,,https://twitter.com/FabianDiazPlata,Circunscripción Nacional en Santander,Universitaria,Administrador/a de empresas,2022 - 2026,26 de mayo de 1990,33,Piedecuesta,Masculino,,504 - 505 Ed. Nuevo del Congreso,4325100 ext: 4104,,https://www.youtube.com/user/qpasaconesto1
39,"Abogado con Especialización en Derecho Administrativo y Derecho Minero y Energético, de la Universidad Externado de Colombia.Fue Concejal de San Gil en 1988, Alcalde de San Gil en 1990, Contralor Departamental 1995, en 2000 fue Senador (segundo renglón de Hugo Serrano Gómez) de enero a octubre, Diputado a la Asamblea de Santander entre enero y agosto de 2001.Fue representante a la Cámara por Santander en dos cuatrienios: 2002-2006 y 2006-2010. Y desde 2010 es Senador de la República.http://www.partidoliberalcolombiano.info/inicio/index.php?option=com_content&view=article&id=232:jaime-enrtique-duran-barrera&catid=61:representantes-a-la-camara&Itemid=123",Jaime Enrique Durán Barrera,Liberal Colombiano,,https://www.facebook.com/jaime.duranbarrera.3?fref=ts,,,,https://twitter.com/jaimeduranbar,Circunscripción Nacional en Santander,Especialización,Abogado/a,2022 - 2026,3 de agosto de 1960,62,San Gil,Masculino,300 2091362 / 318 253 0268,Mez. Sur Ed. Nuevo del Congreso,382 3000 ext: 3659 - 3660 - 3784,serranoyduran@yahoo.es,
40,"Ex-alcalde del Municipio de La Estrella (2012-2105). Dentro de sus principales temas de gobernanza de destacaron los avances en deporte y educación.Según el diario El Colombiano: Es abogado con estudios especializados en derecho administrativo, gestión pública e infancia y adolescencia.http://bit.ly/2DkglqY",Juan Diego Echavarría Sánchez,Liberal Colombiano,https://www.instagram.com/juandiegoechavarriasanchez/?hl=es,https://www.facebook.com/JuanDiegoEchavarria,,,,https://twitter.com/JuanDiegoEcha14,Circunscripción Nacional en Antioquia,Especialización,Abogado/a,2022 - 2026,15 de noviembre de 1975,47,Medellín,Masculino,,Edificio Nuevo del Congreso Of. 230,(57)(601) 3823000 EXT 3531,juan.echavarria@senado.gov.co,
41,"Echeverri, nacido en Marulanda (Caldas) en 1955, estudió derecho de la Universidad de Caldas. Llegó a la política de la mano del ex senador liberal Luis Guillermo Giraldo, quien -en alianza con el también congresista liberal Víctor Renán Barco y el conservador Ómar Yepes- dominó la política caldense durante 30 años.Como parte del grupo político de Giraldo, Echeverri fue concejal y alcalde de Villamaría, personero de Manizales y luego, entre 1986 y 1991, representante a la Cámara. En 1995 se alejó de la política y fue elegido rector de la Universidad de Caldas, donde que ya venía enseñando derecho público.Sacado de: https://www.lasillavacia.com/quien-es-quien/guido-echeverri-piedrahita",Guido Echeverri Piedrahita,Alianza Verde Centro Esperanza Coalición,https://www.instagram.com/guidoecheverri/,https://www.facebook.com/guidoecheverrip,,,,https://twitter.com/guidoecheverri,Circunscripción Nacional en Caldas,Universitaria,Abogado/a,2022 - 2026,1 de enero de 1955,68,Marulanda,Masculino,,,,,
42,"Casado, padre de dos hijos, conservador progresista, demócrata, defensor de los derechos humanos, la naturaleza y los animales; promotor del desarrollo sostenible. Reconocido como econcejal. Abogado y especialista en derecho administrativo de la Universidad de Medellín.Representante a la Cámara desde 2014.",Nicolás Albeiro Echeverry Alvarán,Conservador Colombiano,,https://www.facebook.com/nicoecheverryal,,,https://nicolasecheverry.com/web/,https://twitter.com/nicoecheverryal,Circunscripción Nacional en Antioquia,Especialización,Abogado/a,2022 - 2026,4 de diciembre de 1964,58,Medellín,Masculino,,301B-302B Ed. Nuevo Congreso,4325100 ext 3320 - 3321,,
43,"Ingeniero de sistemas, ha trabajado en el sector privado y con empresas familiares relacionadas con su profesión.Siempre ha trabajado con el Partido de la Unidad al lado de José Tous y José Ramón Elías Nader.Tomado de: Partido de la U http://bit.ly/2D8TyOF",Julio Alberto Elias Vidal,Partido de la U - Partido de la Unión por la Gente,https://www.instagram.com/julioeliasvidal/?hl=es,https://www.facebook.com/JulioEliasVidal,,,,https://twitter.com/JulioEliasVidal?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Circunscripción Nacional en Córdoba,Universitaria,Ingeniero/a,2022 - 2026,10 de enero de 1982,41,Sahagún,Masculino,,Edificio Nuevo del Congreso Of. 622B,(57)(601) 3823000 EXT 3624,julio.elias@senado.gov.co,https://www.youtube.com/user/julioeliasvidal
